search_space_enz_0,sp|O22781|SUVH2_ARATH
search_space_enz_1,sp|O95050|INMT_HUMAN
search_space_enz_2,sp|P10937|PNMT_RAT
search_space_enz_3,sp|P21964|COMT_HUMAN
search_space_enz_4,sp|P22061|PIMT_HUMAN
search_space_enz_5,sp|P36979|RLMN_ECOLI
search_space_enz_6,sp|P46959|TRM61_YEAST
search_space_enz_7,sp|P51580|TPMT_HUMAN
search_space_enz_8,sp|P55345|ANM2_HUMAN
search_space_enz_9,sp|P9WJ63|TLYA_MYCTU
search_space_enz_10,sp|Q14353|GAMT_HUMAN
search_space_enz_11,sp|Q14749|GNMT_HUMAN
search_space_enz_12,sp|Q15910|EZH2_HUMAN
search_space_enz_13,sp|Q6P1Q9|MET2B_HUMAN
search_space_enz_14,sp|Q7Z4G4|TRM11_HUMAN
search_space_enz_15,sp|Q86XA0|MET23_HUMAN
search_space_enz_16,sp|Q9BV44|THUM3_HUMAN
search_space_enz_17,sp|Q9KJ21|SDMT_HALHR
search_space_enz_18,sp|Q9NR22|ANM8_HUMAN
search_space_enz_19,sp|Q9UBL3|ASH2L_HUMAN
search_space_enz_20,sp|Q9UBP6|TRMB_HUMAN
search_space_enz_21,sp|Q9UMN6|KMT2B_HUMAN
search_space_enz_22,sp|Q9Y6K1|DNM3A_HUMAN
search_space_enz_23,sp|P10938|PNMT_BOVIN
search_space_enz_24,sp|protein|C96T_
search_space_enz_25,sp|A6TD45|CYSG1_KLEP7
search_space_enz_26,sp|A6TF07|CYSG2_KLEP7
search_space_enz_27,sp|P0AEA8|CYSG_ECOLI
search_space_enz_28,sp|P15807|MET8_YEAST
search_space_enz_29,sp|P25924|CYSG_SALTY
search_space_enz_30,sp|P52788|SPSY_HUMAN
search_space_enz_31,sp|P95370|CYSG_NEIMB
search_space_enz_32,sp|Q1H3L5|CYSG_METFK
search_space_enz_33,sp|Q1QAX7|CYSG_PSYCK
search_space_enz_34,sp|Q2KWB0|CYSG_BORA1
search_space_enz_35,sp|Q2Y6L7|CYSG_NITMU
search_space_enz_36,sp|Q42606|UPM1_ARATH
search_space_enz_37,sp|Q4FSU1|CYSG_PSYA2
search_space_enz_38,sp|Q59292|HEMA_RUMJO
search_space_enz_39,sp|Q65T49|CYSG_MANSM
search_space_enz_40,sp|Q74Y23|CYSG_YERPE
search_space_enz_41,sp|Q820Q4|CYSG_NITEU
search_space_enz_42,sp|O14172|MET8_SCHPO
search_space_enz_43,sp|Q1IBC9|CYSG_PSEE4
search_space_enz_44,sp|Q2NVN0|CYSG_SODGM
search_space_enz_45,sp|Q3ILQ9|CYSG_PSET1
search_space_enz_46,sp|Q606C9|CYSG_METCA
search_space_enz_47,sp|Q6F8G6|CYSG_ACIAD
search_space_enz_48,sp|Q6LM67|CYSG_PHOPR
search_space_enz_49,sp|Q7VQG9|CYSG_BLOFL
search_space_enz_50,sp|O31616|GLYOX_BACSU
search_space_enz_51,sp|P13255|GNMT_RAT
search_space_enz_52,sp|P40859|MSOX_BACB0
search_space_enz_53,sp|P40873|MSOX_ARTST
search_space_enz_54,sp|P40874|MTOX_ECOLI
search_space_enz_55,sp|P40875|TSOXB_CORS1
search_space_enz_56,sp|P46059|S15A1_HUMAN
search_space_enz_57,sp|Q14749|GNMT_HUMAN
search_space_enz_58,sp|Q1QYW1|DDHC_CHRSD
search_space_enz_59,sp|Q495M3|S36A2_HUMAN
search_space_enz_60,sp|Q50LE9|TSOXG_CORS9
search_space_enz_61,sp|Q50LF0|TSOXA_CORS9
search_space_enz_62,sp|Q50LF1|TSOXD_CORS9
search_space_enz_63,sp|Q50LF2|TSOXB_CORS9
search_space_enz_64,sp|Q63342|M2GD_RAT
search_space_enz_65,sp|Q64380|SARDH_RAT
search_space_enz_66,sp|Q7U4Z8|GSMT_PARMW
search_space_enz_67,sp|Q83WC3|SDMT_APHHA
search_space_enz_68,sp|Q83WC4|GSMT_APHHA
search_space_enz_69,sp|Q8BHK3|S36A2_MOUSE
search_space_enz_70,sp|Q8IY34|S15A3_HUMAN
search_space_enz_71,sp|Q8K415|S36A2_RAT
search_space_enz_72,sp|Q9KJ20|GSDMT_ACTHA
search_space_enz_73,sp|Q9KJ21|SDMT_HALHR
search_space_enz_74,sp|Q9KJ22|GSMT_HALHR
search_space_enz_75,sp|Q9NP91|S6A20_HUMAN
search_space_enz_76,sp|Q9P0Z9|SOX_HUMAN
search_space_enz_77,sp|Q9QXF8|GNMT_MOUSE
search_space_enz_78,sp|Q9UI17|M2GD_HUMAN
search_space_enz_79,sp|Q9UL12|SARDH_HUMAN
search_space_enz_80,sp|Q46337|TSOXA_CORS1
search_space_enz_81,sp|Q46338|TSOXG_CORS1
search_space_enz_82,sp|Q47878|GRDD_PEPAC
search_space_enz_83,sp|Q9D826|SOX_MOUSE
search_space_enz_84,sp|O87386|TSOXA_RHIME
search_space_enz_85,sp|O87387|TSOXD_RHIME
search_space_enz_86,sp|P23342|MSOX_BACSN
search_space_enz_87,sp|P40854|MSOX_STRSB
search_space_enz_88,sp|Q46336|TSOXD_CORS1
search_space_enz_89,sp|Q52671|TSOXB_RHOCB
search_space_enz_90,sp|Q99LB7|SARDH_MOUSE
search_space_enz_91,sp|Q9AGP0|TSOXG_ARTSP
search_space_enz_92,sp|Q9AGP1|TSOXA_ARTSP
search_space_enz_93,sp|Q9AGP2|TSOXD_ARTSP
search_space_enz_94,sp|Q9AGP3|TSOXB_ARTSP
